applicationNumber,animalclass,status,labelType,proprietaryName,fileName,bytes,ingredients,proprietary,bblabelId,indications
ANADA 200-705,Replacement chickens (starters),OTC,C,ZoaShield™ and BMD®,Type C Chicken Starter SV1C.pdf,,"Bacitracin,Zoalene",,10769,<p>Development of active immunity to coccidiosis and as an aid in the control of necrotic enteritis caused by or complicated <i>Clostridium</i>Â spp. or other organisms susceptible to bacitracin.Â </p>
ANADA 200-705,Replacement chickens (starters),OTC,C,ZoaShield™ and BMD®,Type C Chicken Starter SV1P.pdf,,"Bacitracin,Zoalene",,10768,<p>Development of active immunity to coccidiosis and as an aid in the prevention of necrotic enteritis caused by or complicated by <i>Clostridium </i>spp. or other organisms susceptible to bacitracin.Â </p>
NADA 141-419,Broiler chickens,OTC,C,Coyden® and Flavomycin®,UCM434103.pdf,,"Bambermycins,Clopidol",,3039,"<p><font size=""2""></font></p><p>As an aid in the prevention of coccidiosis caused by<em> Eimeria tenella, E. necatrix, E. acervulina, E. maxima, E. brunetti,</em> and <em>E mivati </em>. and for increased rate of weight gain and improved feed efficiency in broiler chickens. </p>"
NADA 141-419,Broiler chickens,OTC,C,Coyden® and Flavomycin®,UCM434098.pdf,,"Bambermycins,Clopidol",,3122,"<p><font size=""2""></font></p><p>As an aid in the prevention of coccidiosis caused by <em>Eimeria tenella, E. necatrix, E. acervulina, E. maxima, E. brunetti</em>, andÂ <em>E</em> <em>mivati</em> and for increased rate of weight gain and improved feed efficiency in broiler chickens. </p>"
NADA 141-158,Broiler chickens,OTC,C,Clinacox™ and Flavomycin®,N141158ClinFlavoTypeCBBBroiler20Aug2020.pdf,,"Bambermycins,Diclazuril",,9221,"<p> <font size=""3""></font>For the prevention of coccidiosis caused by <em>Eimeria tenella</em>, <em>E. necatrix</em>, <em>E. acervulina</em>, <em>E. brunetti</em>, <em>E. mitis (mivati)</em> and <em>E. maxima</em>; and for increased rate of weight gain and improved feed efficiency in broiler chickens. </p><p>Because diclazuril is effective against<em> E. maxima </em>later in its life cycle, subclinical intestinal lesions may be present for a short time after infection. Diclazuril was shown in studies to reduce lesion scores and improve performance and health of birds challenged with <em>E. maxima</em>. <font size=""3""></font></p>"
NADA 137-483,Broiler Chickens,OTC,C,Flavomycin® / Stenorol®,N137483 Broiler Type C.pdf,,"Bambermycins,Halofuginone Hydrobromide",,327,"<p>For the prevention of coccidiosis caused by <em>E. tenella</em>, <em>E. necatrix</em>, <em>E. acervulina</em>, <em>E. maxima</em>, <em>E. mivati</em>, <em>E. brunetti</em>; For increased rate of weight gain and for improved feed efficiency.</p>"
NADA 141-129,Broiler chickens,OTC,C,Avatec® / Flavomycin®,UCM207266.pdf,,"Bambermycins,Lasalocid",,1822,"<p>For the prevention of coccidiosis caused by <i>Eimeria tenella</i>, <i>E. necatrix</i>, <i>E. acervulina</i>, <i>E. brunetti</i>, <i>E. mivati</i>, and <i>E. maxima</i>, and for increased rate of weight gain and improved feed efficiency in broiler chickens.<br/></p>"
NADA 098-340,Broiler Chickens,OTC,C,Flavomycin® / Monensin,N098340 Broiler Type C.pdf,,"Bambermycins,Monensin Sodium",,325,"<p>Â <font size=""3""></font>For the prevention of coccidiosis caused by <em>E. tenella</em>, <em>E. necatrix</em>, <em>E. acervulina</em>, <em>E. mivati</em>, and <em>E. brunetti</em>. For increased rate of weight gain and for improved feed efficiency. <font size=""3""></font></p>"
ANADA 200-095,Chicken,VFD,C,Aureomycin® / Sacox®,UCM532544.pdf,,"Chlortetracycline Calcium Complex,Salinomycin Sodium",,5406,"<p><font size=""2""></font></p><p>For the prevention of coccidiosis caused by <em>Eimeria acervulina</em>, <em>E. tenella</em>,<em> E. brunetti</em>, <em>E. maxima</em>, <em>E. necatrix </em>and <em>E. mivati </em>and as an aid in the reduction of mortaility due to<em> E. coli </em>infections susceptible to chiortetracycline. </p>"
ANADA 200-354,Chickens,VFD,C,Pennchlor™ / Coban®,UCM536126.pdf,,"Chlortetracycline Hydrochloride,Monensin Sodium",,389,"<p> <font color=""#34283a"" size=""3""><font color=""#34283a"" size=""3""></font></font>As an aid in the reduction of mortality due to <em>E. coli </em>infections susceptible to chlortetracycline in chickens. As an aid in the prevention of coccidiosis caused by <em>Eimeria tenella, E. necatrix, E acervulina, E. maxima, E. brunetti,</em> and <em>E. mivati</em>. <font color=""#4f3038"" face=""Times New Roman,Times New Roman PS"" size=""3""><font color=""#4f3038"" face=""Times New Roman,Times New Roman PS"" size=""3""><font color=""#4f3038"" face=""Times New Roman,Times New Roman PS"" size=""3""><i></i></font></font></font><font color=""#4f3038"" face=""Times New Roman,Times New Roman PS"" size=""3""><font color=""#4f3038"" face=""Times New Roman,Times New Roman PS"" size=""3""><i></i></font></font><font color=""#4f3038"" face=""Times New Roman,Times New Roman PS"" size=""3""><i></i></font><i></i></p>"
NADA 046-209,Replacement chickens,VFD,B,COYDEN® plus CTC,UCM315060.pdf,,"Chlortetracycline,Clopidol",,4240,"<p><font size=""3""></font></p><p>As an aid in prevention of coccidiosis caused by <em>Eimeria tenella</em>,<em> E. necatrix</em>,<em> E. acervulina</em>, <em>E. maxima</em>,<em> E. mivati </em>and<em> E. brunetti </em>and for control of infectious synovitis caused by <em>Mycoplasma synoviae </em>susceptible to chlortetracycline in replacement chickens intended for use as caged layers. </p>"
NADA 046-209,Replacement chickens,VFD,B,COYDEN® plus CTC,UCM315059.pdf,,"Chlortetracycline,Clopidol",,4302,"<p> <font size=""3""></font>As an aid in prevention of coccidiosis caused by<em> Eimeria tenella</em>,<em> E. necatrix</em>, <em>E. acervulina</em>, <em>E. maxima</em>, <em>E. mivati </em>and<em> E. brunetti </em>and for control of infectious synovitis caused by <em>Mycoplasma synoviae </em>susceptible to chlortetracycline in broiler chickens and replacement chickens intended for use as caged layers. </p><p><br/></p><p><span class=""rangySelectionBoundary"" id=""selectionBoundary_1544782361495_5340539290651751"">&#65279;</span><font size=""3""><br/></font></p>"
NADA 046-209,Broiler chickens,VFD,C,COYDEN® plus CTC,UCM532684.pdf,,"Chlortetracycline,Clopidol",,4309,"<p><font size=""3""></font></p><p>As an aid in prevention of coccidiosis caused by <em>Eimeria tenella</em>, <em>E. necatrix</em>,<em> E. acervulina</em>, <em>E. maxima</em>,<em> E. mivati </em>and<em> E. brunetti </em>and for control of infectious synovitis caused by <em>Mycoplasma synoviae </em>susceptible to chlortetracycline in broiler chickens. </p>"
NADA 045-444,Broiler chickens,VFD,C,Deccox® and Aureomycin®,UCM532499.pdf,,"Chlortetracycline,Decoquinate",,6427,"<p> <font size=""2""></font>For broiler chickens: As an aid in the prevention of coccidiosis caused by <em>Eimeria tenella</em>,<em> E. necatrix</em>, <em>E. acervulina</em>, <em>E. mivati</em>, <em>E. maxima</em>, and <em>E. brunetti</em>; for the treatment of chronic respiratory diseases (air sac infection) and the prevention of synovitis. </p><p><span class=""rangySelectionBoundary"" id=""selectionBoundary_1545151391498_5904340422478349"">&#65279;</span><font size=""2""><br/></font></p>"
NADA 045-444,Broiler chickens,VFD,C,Deccox® and Aureomycin®,UCM532497.pdf,,"Chlortetracycline,Decoquinate",,1036,"<p> <font size=""2""></font>As an aid in the prevention of coccidiosis caused by <em>Eimeria tenella, E. necatrix, E. acervulina, E. mivati, E. maxima,</em> and <em>E. brunetti</em>; for the treatment of chronic respiratory diseases (air sac infection) and the prevention of synovitis.<font size=""2""> </font></p>"
NADA 045-444,Broiler chickens,VFD,C,Deccox® and Aureomycin®,UCM532503.pdf,,"Chlortetracycline,Decoquinate",,6422,"<p> <font size=""2""></font>For broiler chickens: As an aid in the prevention of coccidiosis caused by <em>Eimeria tenella</em>, <em>E. necatrix</em>, <em>E. acervulina</em>, <em>E. mivati</em>, <em>E. maxima</em>, and <em>E. brunetti</em>; for the treatment of chronic respiratory diseases (air sac infection) and the prevention of synovitis. <font size=""2""></font></p>"
NADA 121-553,Chicken,VFD,C,Aureomycin® / Coban™,UCM532533.pdf,,"Chlortetracycline,Monensin Sodium",,6402,"<p> <font size=""2""></font>As an aid in the reduction of mortality due to <em>E. coli </em>infections susceptible to chlortetracycline in chickens. </p><p>As an aid in the prevention of coccidiosis caused by <em>Eimeria tenella</em>, <em>E. necatrix</em>, <em>E acervulina</em>,<em> E. maxima</em>, <em>E. brunetti</em>, and <em>E. mivat</em>i. <font size=""2""></font></p>"
ANADA 200-263,Chicken,VFD,C,ChlorMax™ / Coban®,UCM532558.pdf,,"Chlortetracycline,Monensin Sodium",,5457,"<p> <font size=""2""></font>As an aid in the reduction of mortality due to <em>E. coli </em>infections susceptible to chlortetracycline in chickens. As an aid in the prevention of coccidiosis caused by<em> Eimeria tenella</em>,<em> E. necatrix</em>, <em>E acervulina</em>,<em> E. maxima</em>, <em>E. brunetti</em>, and <em>E. mivati</em>. <font size=""2""><font size=""2""></font></font><font size=""2""></font></p>"
NADA 092-507,Chicken,VFD,C,Robenz® and Aureomycin®,UCM532516.pdf,,"Chlortetracycline,Robenidine Hydrochloride",,6412,"<p> <font size=""2""></font>For broiler and fryer chickens: As an aid in the prevention of coccidiosis caused by <em>E. mivati</em>, <em>E. brunetti</em>, <em>E. tenella</em>, <em>E. acervulina</em>, <em>E. maxima</em>, and <em>E. necatrix</em>. As an aid in the reduction of mortality due to<em> E. coli </em>susceptible to chlortetracycline<font size=""2"">. </font></p>"
NADA 092-507,Chicken,VFD,C,Robenz® and Aureomycin®,UCM532511.pdf,,"Chlortetracycline,Robenidine Hydrochloride",,6417,"<p> <font size=""2""></font>For broiler and fryer chickens: As an aid in the prevention of coccidiosis caused by<em> E. mivati</em>, <em>E. brunetti</em>, <em>E. tenella</em>,<em> E. acervulina</em>, <em>E. maxima</em>, and<em> E. necatrix</em>. As an aid in the control of chronic respiratory disease (CRD) caused by<em> M. gallisepticum </em>susceptible to chlortetracycline. As an aid in the control of infectious synovitis caused by <em>M. synoviae </em>susceptible to chlortetracycline. <font size=""2""></font></p>"
NADA 092-507,Chicken,VFD,C,Robenz® and Aureomycin®,UCM532520.pdf,,"Chlortetracycline,Robenidine Hydrochloride",,6410,"<p> <font size=""2""></font>For broiler and fryer chickens: As an aid in the prevention of coccidiosis caused by<em> E. mivati</em>, <em>E. brunetti</em>, <em>E. tenella</em>, <em>E. acervulina</em>,<em> E. maxima</em>, and <em>E. necatrix</em>. As an aid in the control of chronic respiratory disease (CRD) caused by <em>M. gallisepticum </em>susceptible to chlortetracycline. As an aid in the control of infectious synovitis caused by <em>M. synoviae </em>susceptible to chlortetracycline. <font size=""2""></font></p>"
NADA 140-859,Chicken,VFD,C,Bio-Cox®/Aureomycin®,UCM207237.pdf,,"Chlortetracycline,Salinomycin Sodium",,5460,"<p><font size=""2""></font></p><p>For the prevention of coccidiosis caused by <em>Eimeria acervulina</em>,<em> E. tenella</em>, <em>E. brunetti</em>, <em>E. maxima</em>, <em>E. necatrix </em>and<em> E. mivati </em>and as an aid in the reduction of mortaility due to <em>E. coli </em>infections susceptible to chiortetracycline. </p><p><br/></p><p><span class=""rangySelectionBoundary"" id=""selectionBoundary_1544790694727_7912054342726345"">&#65279;</span><br/></p>"
ANADA 200-261,Broiler chicken,VFD,C,Bio-Cox® / ChlorMax™,UCM532551.pdf,,"Chlortetracycline,Salinomycin Sodium",,5405,"<p> <font size=""2""></font>For the prevention of coccidiosis caused by <em>Eimeria acervulina</em>, <em>E. tenella</em>, <em>E. brunetti</em>, <em>E. maxima</em>, <em>E. necatrix </em>and<em> E. mivati </em>and as an aid in the reduction of mortaility due to <em>E. coli </em>infections susceptible to chlortetracycline. <font size=""2""></font></p>"
ANADA 200-262,Chicken,VFD,C,ChlorMax® / Sacox®,UCM532555.pdf,,"Chlortetracycline,Salinomycin Sodium",,5404,"<p> <font size=""2""></font>For the prevention of coccidiosis caused by <em>Eimeria acervulina</em>, <em>E. tenella</em>, <em>E. brunetti</em>, <em>E. maxima</em>, <em>E. necatrix </em>and<em> E. mivati </em>and as an aid in the reduction of mortality due to <em>E. coli </em>infections susceptible to chlortetracxycline. <font size=""2""></font></p>"
ANADA 200-357,Chicken,VFD,C,Pennchlor® / Bio-Cox®,UCM532547.pdf,,"Chlortetracycline,Salinomycin Sodium",,5458,"<p><font size=""2""></font>For the prevention of coccidiosis caused by <em>Eimeria acervulina</em>, <em>E. tenella</em>, <em>E. brunetti</em>,<em> E. maxima</em>, <em>E. necatrix </em>and <em>E. mivati </em>and as an aid in the reduction of mortaility due to<em> E. coli </em>infections susceptible to chlortetracycline. <font size=""2""></font></p>"
NADA 141-485,Broiler chickens,VFD,C,COYDEN® and LINCOMIX®,N141485 Type C Blue Bird Label Clopidol Lincomycin Chicken.pdf,,"Clopidol,Lincomycin",,2697,"<p> <font size=""2""></font>As an aid in the prevention of cecal and intestinal coccidiosis caused by <em>E. tenella</em>,<em> E. necatrix</em>, <em>E. acervulina</em>, <em>E. maxima</em>,<em> E. brunetti</em>, and <em>E. mivati</em>, and for the control of necrotic enteritis caused or complicated by <em>Clostridium </em>spp. or other organisms susceptible to lincomycin in broiler chickens. <font size=""2""></font></p>"
NADA 141-483,Broiler chickens,VFD,C,Deccox® and LINCOMIX®,UCM603681.pdf,,"Decoquinate,Lincomycin",,49,"<p> <font size=""2""></font>For the prevention of coccidiosis caused by <em>Eimeria tenella, E. necatrix, E. acervulina, E. maxima, E. mivati</em>, and <em>E. brunetti</em>, and for the control of necrotic enteritis caused or complicated by <em>Clostridium</em> spp. or other organisms susceptible to lincomycin in broiler chickens. <font face=""Times New Roman,Times New Roman"" size=""2""><font face=""Times New Roman,Times New Roman"" size=""2""><i></i></font></font><font face=""Times New Roman,Times New Roman"" size=""2""><i></i></font><i></i></p>"
NADA 141-472,Broiler chickens,VFD,C,Clinacox® and Stafac®,N 141-472 ClinStaf TypeCBlueBird 8Jul2020.pdf,,"Diclazuril,Virginiamycin",,199,"<p><font size=""3""></font></p><p> <font size=""2""></font>For the prevention of coccidiosis caused by <em>Eimeria tenella, E. necatrix, E. acervulina, E. brunetti, E. mitis (mivati)</em> and <em>E. maxima</em>; and for prevention of necrotic enteritis caused by <em>Clostridium perfringens </em>susceptible to virginiamycin in broiler chickens. </p><p>Because diclazuril is effective against<em> E. maxima</em> later in its life cycle, subclinical intestinal lesions may be present for a short time after infection. Diclazuril was shown in studies to reduce lesion scores and improve performance and health of birds challenged with <em>E. maxima. </em><font size=""2""></font></p>"
NADA 141-470,Broiler and fryer chickens,VFD,C,Stafac® and Avatec®,UCM536711.pdf,,"Lasalocid sodium,Virginiamycin",,198,"<p> <font size=""3""></font>For prevention of necrotic enteritis caused by <em>Clostridium perfringens </em>susceptible to virginiamycin and for the prevention of coccidiosis caused by <em>Eimeria tenella, E. necatrix, E. acervulina, E. brunetti, E. mivati</em>, and <em>E. maxima</em>. <font size=""3""></font></p>"
NADA 141-488,Broiler chickens,VFD,C,Avatec® and LINCOMIX®,N141488 Type C Blue Bird Label Lasalocid Lincomycin Chickens.pdf,,"Lasalocid,Lincomycin",,7325,"<p>For the prevention of coccidiosis caused by <i>Eimeria tenella</i>, <i>E. necatrix</i>, <i>E. acervulina</i>, <i>E. brunetti</i>, <i>E. mivati</i>, and <i>E. maxima</i>, and for the control of necrotic enteritis caused or complicated by <i>Clostridium spp</i>. or other organisms susceptible to lincomycin in broiler chickens.<br/></p>"
NADA 141-491,Broiler chickens,VFD,C,Coban™ and LINCOMIX®,UCM603703.pdf,,"Lincomycin,Monensin",,51,"<p> <font size=""2""></font>As an aid in the prevention of coccidiosis caused by <em>Eimeria necatrix, E. tenella, E. acervulina, E. brunetti, E. mivati</em>, and <em>E. maxima</em>, and for the control of necrotic enteritis caused or complicated by <em>Clostridium</em> spp. or other organisms susceptible to lincomycin in broiler chickens. <font size=""2""></font></p>"
NADA 141-482,Broiler chickens,VFD,C,Robenz® and LINCOMIX®,UCM603658.pdf,,"Lincomycin,Robenidine Hydrochloride",,50,"<p> <font size=""2""></font>As an aid in the prevention of coccidiosis caused by <em>Eimeria mivati, E. brunetti, E. tenella, E. acervulina, E. maxima</em>, and <em>E. necatrix</em>, and for the control of necrotic enteritis caused or complicated by <em>Clostridium</em> spp. or other organisms susceptible to lincomycin in broiler chickens. <font size=""2""></font></p>"
NADA 141-484,Broiler chickens,VFD,C,Bio-Cox® and LINCOMIX®,UCM600431.pdf,,"Lincomycin,Salinomycin Sodium",,64,"<p> <font size=""2""></font>For the prevention of coccidiosis caused by <em>Eimeria tenella</em>, <em>E. necatrix</em>, <em>E. acervulina, E. maxima, E. brunetti</em>, and<em> E. mivati</em>, and for the control of necrotic enteritis caused or complicated by <em>Clostridium</em> spp. or other organisms susceptible to lincomycin in broiler chickens. <font size=""2""></font></p>"
NADA 141-489,Broiler chickens,VFD,C,Zoamix® and LINCOMIX®,UCM600453.pdf,,"Lincomycin,Zoalene",,63,"<p> <font size=""2""></font>For the prevention and control of coccidiosis, and for the control of necrotic enteritis caused or complicated by <em>Clostridium</em> spp. or other organisms susceptible to lincomycin in broiler chickens. <font size=""2""></font></p>"
NADA 099-006,Chicken,VFD,C,Coban™/TM®,UCM532527.pdf,,"Monensin Sodium,Oxytetracycline",,6404,"<p> <font size=""3""></font>As an aid in the prevention of coccidiosis caused by <em>Eimeria necatrix</em>, <em>E. tenella</em>, <em>E. acervulina</em>,<em> E. brunetti</em>, <em>E. mivati </em>and <em>E. maxima</em>; and for the control of complicated chronic respiratory disease (CRD or air sac infection) caused by<em> Mycoplasma gallisepticum</em> and <em>Escherichia col</em>i in broiler chickens. <font size=""3""></font></p>"
NADA 099-006,Chicken,VFD,C,Coban™/TM®,UCM532526.pdf,,"Monensin Sodium,Oxytetracycline",,6406,"<p> <font size=""3""></font>As an aid in the prevention of coccidiosis caused by <em>Eimeria necatrix</em>, <em>E. tenella</em>, <em>E. acervulina</em>,<em> E. brunetti</em>, <em>E. mivati </em>and <em>E. maxima</em>; and as an aid in the reduction of mortality due to air-sacculitis (air sac infection) caused by <em>Escherichia coli </em>sensitive to oxytetracycline in broiler chickens. <font size=""3""></font></p>"
NADA 099-006,Chicken,VFD,C,Coban™/TM®,UCM313652.pdf,,"Monensin Sodium,Oxytetracycline",,6409,"<p> <font size=""3""></font>As an aid in the prevention of coccidiosis caused by <em>Eimeria </em>necatrix, E. tenella, E. acervulina, E. brunetti, <em>E. mivati </em>and<em> E. maxima</em>; and for the control of complicated chronic respiratory disease (CRD or air sac infection) caused by Mycoplasma <em>gallisepticum</em> and<em> Escherichia coli </em>in broiler chickens. <font size=""3""></font></p>"
NADA 141-430,Broiler chickens,VFD,C,Stafac® and Coban™,UCM414044.pdf,,"Monensin,Virginiamycin",,375,"<p> <font size=""3""></font>For prevention of necrotic enteritis caused by <em>Clostridium perfringens </em>susceptible to virginiamycin and as an aid in the prevention of coccidiosis caused by <em>Eimeria necatrix, E. tenella, E. acervulina, E. brunetti, E. mivati </em>and <em>E. maxima</em>. <font size=""3""></font></p>"
NADA 138-952,Broiler chickens,OTC,B,Maxiban™ 72,N138952 Maxiban Type B Blue Bird Label.pdf,,"Narasin,Nicarbazin",,7641,"<p>For the prevention of coccidiosis caused by <em>Eimeria necatrix, E. tenella, E. acervulina, E. brunetti, E. mivati, </em>and <em>E. maxima.</em><br/></p>"
NADA 138-952,Broiler chickens,OTC,C,Maxiban™ 72,Maxiban+Type+C+Blue+Bird+Label+Rev.pdf,,"Narasin,Nicarbazin",,7642,"<p>For the prevention of coccidiosis caused by <em>Eimeria necatrix, E. tenella, E. acervulina, E. brunetti, E. mivati, </em>and <em>E. maxima.</em><br/></p>"
NADA 141-462,Broilers,VFD,C,Stafac® and Monteban™,Stafac Monteban Bluebird label revised August 2022.pdf,,"Narasin,Virginiamycin",,11306,"<p>For prevention of necrotic enteritis caused by <i>Clostridium perfringens</i> susceptible to virginiamycin and for the prevention of coccidiosis caused by<i> Eimeria necatrix</i>, <i>E. tenella</i>,<i> E. acervulina</i>, <i>E. brunetti</i>,<i> E. mivati</i>, and <i>E. maxima</i> in broiler chickens.<br/></p>"
NADA 094-975,Chickens,VFD,C,"Neo-Terramycin® 100/100,Neo-Terramycin® 100/100D,Neo-Terramycin® 50/50,Neo-Terramycin® 50/50D",UCM423336.pdf,,"Neomycin Sulfate,Oxytetracycline",,5920,<p>For chickens for reduction of mortality due to air sacculitis (air sac infection) caused by <i>Escherichia coli </i>susceptible to oxytetracycline.<br/></p>
NADA 094-975,Chickens,VFD,C,"Neo-Terramycin® 100/100,Neo-Terramycin® 100/100D,Neo-Terramycin® 50/50,Neo-Terramycin® 50/50D",UCM423335.pdf,,"Neomycin Sulfate,Oxytetracycline",,5937,<p>Control of infectious synovitis caused by <i>Mycoplasma synoviae</i>; control of fowl cholera caused by <i>Pasteurella multocida </i>susceptible to oxytetracycline.</p><p>Control of chronic respiratory disease (CRD) and air sac infection caused by <i>Mycoplasma gallisepticum </i>and <i>Escherichia coli </i>susceptible to oxytetracycline<br/></p>
NADA 094-975,Chickens,VFD,B,"Neo-Terramycin® 100/100,Neo-Terramycin® 100/100D,Neo-Terramycin® 50/50,Neo-Terramycin® 50/50D",UCM423333.pdf,,"Neomycin Sulfate,Oxytetracycline",,5897,<p>Reduction of mortality due to air sacculitis (air sac infection) caused by <i>Escherichia coli </i>susceptible to oxytetracycline<br/></p>
NADA 094-975,Chickens,VFD,B,"Neo-Terramycin® 100/100,Neo-Terramycin® 100/100D,Neo-Terramycin® 50/50,Neo-Terramycin® 50/50D",UCM423329.pdf,,"Neomycin Sulfate,Oxytetracycline",,993,<p>Control of infectious synovitis caused by <em>Mycoplasma synoviae</em>; control of fowl cholera caused by <em>Pasteurella multocida </em>susceptible to oxytetracycline.</p><p>Control of chronic respiratory disease (CRD) and air sac infection caused by <em>Mycoplasma gallisepticum</em> and <em>Escherichia coli </em>susceptible to oxytetracycline.<br/></p>
NADA 138-939,Chicken,VFD,C,"Neo-Oxy 100/100 MR®,Neo-Oxy 50/50®",UCM203184.pdf,,"Neomycin Sulfate,Oxytetracycline Hydrochloride",,6514,"<p> <font size=""3""></font>For control of infectious synovitis caused by <em>Mycoplasma synoviae</em>; control of fowl cholera caused by <em>Pasteurella multocida </em>susceptible to oxytetracycline<font size=""3"">. </font></p>"
NADA 138-939,Chicken,VFD,C,"Neo-Oxy 100/100 MR®,Neo-Oxy 50/50®",UCM203185.pdf,,"Neomycin Sulfate,Oxytetracycline Hydrochloride",,6498,"<p> <font size=""3""></font>For control of chronic respiratory disease (CRD) and air sac infection caused by <em>Mycoplasma gallisepticum </em>and<em> Escherichia coli </em>susceptible to oxytetracycline. <font size=""3""></font></p>"
NADA 138-939,Chickens,VFD,B,"Neo-Oxy 100/100 MR®,Neo-Oxy 50/50®",UCM203178.pdf,,"Neomycin Sulfate,Oxytetracycline Hydrochloride",,1017,<p>For control of infectious synovitis caused by <em>Mycoplasma synoviae</em>; control of fowl cholera caused by <em>Pasteurella multocida </em>susceptible to oxytetracycline.</p><p>For control of chronic respiratory disease (CRD) and air sac infection caused by <em>Mycoplasma gallisepticum </em>and<em> Escherichia coli </em>susceptible to oxytetracycline.</p><p>For reduction of mortality due to air sacculitis (air-sacinfection) caused by <em>Escherichia coli </em>susceptible to oxytetracycline.</p>
NADA 138-939,Chicken,VFD,C,"Neo-Oxy 100/100 MR®,Neo-Oxy 50/50®",UCM203187.pdf,,"Neomycin Sulfate,Oxytetracycline Hydrochloride",,6531,"<p> <font size=""3""></font>For reduction of mortality due to air sacculitis (air-sac-infection) caused by <em>Escherichia coli </em>susceptible to oxytetracycline. <font size=""3""></font></p>"
NADA 040-209,Broiler and Replacement Chickens (Breeder and Layer),VFD,C,Rofenaid® 40,UCM532270.pdf,,"Ormetoprim,Sulfadimethoxine",,416,"<p> <font size=""3""></font>Broiler and Replacement Chickens (Breeder and Layer): As an aid in the prevention of coccidiosis caused by <em>Eimeria tenella</em>,<em> E</em>. <em>necatrix</em>,<em> E. acervulina,</em> <em>E. maxima</em>, <em>E. brunetti </em>and <em>E. mivati;</em> as an aid in the prevention of bacterial infections caused by <em>Haemophilus gallinarum </em>(infectious coryza), <em>Escherichia coli </em>(<em>colibacillosis</em>) and <em>Pasteurella multocida </em>(fowl cholera) <font size=""3""></font></p>"
NADA 040-209,Broiler and Replacement (Breeder and Layer Chicken),VFD,C,Rofenaid® 40,UCM532268.pdf,,"Ormetoprim,Sulfadimethoxine",,434,"<p> <font size=""3""></font>As an aid in the prevention of coccidiosis caused by all Eimeria species known to be pathogenic to chickens, namely <em>E. tenella, E. necatrix, E. acervulina, E. brunette, E. mivati</em>, and <em>E. maxima</em>, and bacterial infections due to <em>H. galmaxima</em>, and bacterial infections due to <em>H. gallinarum</em> (infectious coryza), E. coli (colibacillosis) and <em>P. multocida </em>(fowl cholera). <font size=""3""></font></p>"
NADA 040-209,"Chickens [broiler and replacement (breeder and layer)], Turkeys, Ducks, breeding ducks and Chukar Partridges",VFD,B,Rofenaid® 40,UCM532266.pdf,,"Ormetoprim,Sulfadimethoxine",,441,"<p><b><font size=""3""></font></b>Chickens [broiler and replacement (breeder and layer)]: As an aid in the prevention of coccidiosis caused by<em> Eimeria tenella, E. necatrix, E. acervulina, E. maxima, E. brunetti </em>and <em>E. mivati</em>; as an aid in the prevention of bacterial infections caused by <em>Haemophilus gallinarum</em> (infectious coryza),<em> Escherichia coli </em>(colibacillosis) and <em>Pasteurella multocida </em>(fowl cholera). </p><p>Turkeys: As an aid in the prevention of coccidiosis caused by<em> Eimeria adenoeides, E. gallopavonis</em>, and <em>E. meleagrimitis</em>; for the prevention of bacterial infections caused by <em>Pasteurella multocida</em> (fowl cholera). </p><p>Ducks, including breeding ducks: As an aid in the control of bacterial infections due to <em>Pasteurella multocida </em>(fowl cholera) in ducks including breeding ducks. </p><p>Ducks: As an aid in the control of bacterial infections due to Escherichia coli<em>, Riemerella anatipestife</em>r (strains 2, 3, &amp; 4) and severe challenge of <em>P. multocida</em> (fowl cholera). </p><p>Chukar Partridges: For the prevention of coccidiosis caused by<em> Eimeria kof</em>oidi and <em>E. legionensis. </em></p><p><font face=""Times New Roman,Times New Roman"" size=""3""><font face=""Times New Roman,Times New Roman"" size=""3""></font></font><font face=""Times New Roman,Times New Roman"" size=""3""></font></p>"
NADA 101-666,Chicken,VFD,C,TM® plus Robenz®,UCM430294.pdf,,"Oxytetracycline,Robenidine Hydrochloride",,6403,"<p> <font size=""3""></font>For chickens for control of chronic respiratory disease (CRD) and air sac infection caused by <em>Mycoplasma gallisepticum </em>and <em>Escherichia coli </em>susceptible to oxytetracycline, and as an aid in the prevention of coccidiosis caused by <em>Eimeria necatrix</em>, <em>Eimeria tenella</em>,<em> Eimeria acervulina</em>, <em>Eimeria brunetti</em>, <em>Eimeria mivati</em> and <em>Eimeria maxima</em>. <font face=""Times New Roman,Times New Roman"" size=""3""><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font></font><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font><i></i></p>"
NADA 140-448,Chickens,VFD,C,TM® plus Bio-Cox®,UCM430383.pdf,,"Oxytetracycline,Salinomycin Sodium",,6401,"<p> <font size=""3""></font>For chickens as an aid in the reduction of mortality due to air-sacculitis (air sac infection) caused by<em> Esherichia coli </em>sensitive to oxytetracycline and for the prevention of coccidiosis caused by<em> Eimeria necatrix</em>, <em>E. tenella</em>, <em>E. acervulina</em>, <em>E. brunetti</em>, <em>E. mivati </em>and <em>E. maxima</em>. <font face=""Times New Roman,Times New Roman"" size=""3""><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font></font><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font><i></i></p>"
